Cluster	GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
D	GO:0071478	0.207216478	1.325062678	10.07266436	13	142	cellular response to radiation	0.685488496	"ENSG00000048028,ENSG00000064545,ENSG00000107485,ENSG00000110108,ENSG00000111142,ENSG00000132436,ENSG00000132646,ENSG00000134001,ENSG00000143799,ENSG00000164024,ENSG00000175054,ENSG00000181163,ENSG00000188976"	"USP28,TMEM161A,GATA3,TMEM109,METAP2,FIGNL1,PCNA,EIF2S1,PARP1,METAP1,ATR,NPM1,NOC2L"
D	GO:0001759	0.207458784	2.623471883	0.851211073	2	12	organ induction	0.685488496	"ENSG00000005073,ENSG00000125378"	"HOXA11,BMP4"
D	GO:0002407	0.207458784	2.623471883	0.851211073	2	12	dendritic cell chemotaxis	0.685488496	"ENSG00000108561,ENSG00000163823"	"C1QBP,CCR1"
D	GO:0006244	0.207458784	2.623471883	0.851211073	2	12	pyrimidine nucleotide catabolic process	0.685488496	"ENSG00000076248,ENSG00000154328"	"UNG,NEIL2"
D	GO:0006646	0.207458784	2.623471883	0.851211073	2	12	phosphatidylethanolamine biosynthetic process	0.685488496	"ENSG00000110721,ENSG00000130304"	"CHKA,SLC27A1"
D	GO:0007413	0.207458784	2.623471883	0.851211073	2	12	axonal fasciculation	0.685488496	"ENSG00000181754,ENSG00000182580"	"AMIGO1,EPHB3"
D	GO:0009209	0.207458784	2.623471883	0.851211073	2	12	pyrimidine ribonucleoside triphosphate biosynthetic process	0.685488496	"ENSG00000084774,ENSG00000143179"	"CAD,UCK2"
D	GO:0010510	0.207458784	2.623471883	0.851211073	2	12	regulation of acetyl-CoA biosynthetic process from pyruvate	0.685488496	"ENSG00000067992,ENSG00000168291"	"PDK3,PDHB"
D	GO:0010523	0.207458784	2.623471883	0.851211073	2	12	negative regulation of calcium ion transport into cytosol	0.685488496	"ENSG00000101188,ENSG00000213366"	"NTSR1,GSTM2"
D	GO:0010826	0.207458784	2.623471883	0.851211073	2	12	negative regulation of centrosome duplication	0.685488496	"ENSG00000012048,ENSG00000181163"	"BRCA1,NPM1"
D	GO:0010866	0.207458784	2.623471883	0.851211073	2	12	regulation of triglyceride biosynthetic process	0.685488496	"ENSG00000062282,ENSG00000197296"	"DGAT2,FITM2"
D	GO:0016540	0.207458784	2.623471883	0.851211073	2	12	protein autoprocessing	0.685488496	"ENSG00000143799,ENSG00000165060"	"PARP1,FXN"
D	GO:0021871	0.207458784	2.623471883	0.851211073	2	12	forebrain regionalization	0.685488496	"ENSG00000125378,ENSG00000197121"	"BMP4,PGAP1"
D	GO:0022038	0.207458784	2.623471883	0.851211073	2	12	corpus callosum development	0.685488496	"ENSG00000103494,ENSG00000182580"	"RPGRIP1L,EPHB3"
D	GO:0031649	0.207458784	2.623471883	0.851211073	2	12	heat generation	0.685488496	"ENSG00000109255,ENSG00000130304"	"NMU,SLC27A1"
D	GO:0032331	0.207458784	2.623471883	0.851211073	2	12	negative regulation of chondrocyte differentiation	0.685488496	"ENSG00000125378,ENSG00000172819"	"BMP4,RARG"
D	GO:0035563	0.207458784	2.623471883	0.851211073	2	12	positive regulation of chromatin binding	0.685488496	"ENSG00000013573,ENSG00000167513"	"DDX11,CDT1"
D	GO:0042474	0.207458784	2.623471883	0.851211073	2	12	middle ear morphogenesis	0.685488496	"ENSG00000179981,ENSG00000180228"	"TSHZ1,PRKRA"
D	GO:0043501	0.207458784	2.623471883	0.851211073	2	12	skeletal muscle adaptation	0.685488496	"ENSG00000109819,ENSG00000114854"	"PPARGC1A,TNNC1"
D	GO:0043517	0.207458784	2.623471883	0.851211073	2	12	"positive regulation of DNA damage response, signal transduction by p53 class mediator"	0.685488496	"ENSG00000124802,ENSG00000175054"	"EEF1E1,ATR"
D	GO:0043586	0.207458784	2.623471883	0.851211073	2	12	tongue development	0.685488496	"ENSG00000100625,ENSG00000123364"	"SIX4,HOXC13"
D	GO:0043970	0.207458784	2.623471883	0.851211073	2	12	histone H3-K9 acetylation	0.685488496	"ENSG00000012048,ENSG00000107485"	"BRCA1,GATA3"
D	GO:0045672	0.207458784	2.623471883	0.851211073	2	12	positive regulation of osteoclast differentiation	0.685488496	"ENSG00000163823,ENSG00000180694"	"CCR1,TMEM64"
D	GO:0045761	0.207458784	2.623471883	0.851211073	2	12	regulation of adenylate cyclase activity	0.685488496	"ENSG00000112186,ENSG00000171873"	"CAP2,ADRA1D"
D	GO:0050667	0.207458784	2.623471883	0.851211073	2	12	homocysteine metabolic process	0.685488496	"ENSG00000100714,ENSG00000101444"	"MTHFD1,AHCY"
D	GO:0050812	0.207458784	2.623471883	0.851211073	2	12	regulation of acyl-CoA biosynthetic process	0.685488496	"ENSG00000067992,ENSG00000168291"	"PDK3,PDHB"
D	GO:0051004	0.207458784	2.623471883	0.851211073	2	12	regulation of lipoprotein lipase activity	0.685488496	"ENSG00000091583,ENSG00000134243"	"APOH,SORT1"
D	GO:0051284	0.207458784	2.623471883	0.851211073	2	12	positive regulation of sequestering of calcium ion	0.685488496	"ENSG00000101188,ENSG00000213366"	"NTSR1,GSTM2"
D	GO:0051589	0.207458784	2.623471883	0.851211073	2	12	negative regulation of neurotransmitter transport	0.685488496	"ENSG00000069535,ENSG00000110881"	"MAOB,ASIC1"
D	GO:0051767	0.207458784	2.623471883	0.851211073	2	12	nitric-oxide synthase biosynthetic process	0.685488496	"ENSG00000108984,ENSG00000115415"	"MAP2K6,STAT1"
D	GO:0051769	0.207458784	2.623471883	0.851211073	2	12	regulation of nitric-oxide synthase biosynthetic process	0.685488496	"ENSG00000108984,ENSG00000115415"	"MAP2K6,STAT1"
D	GO:0051988	0.207458784	2.623471883	0.851211073	2	12	regulation of attachment of spindle microtubules to kinetochore	0.685488496	"ENSG00000117650,ENSG00000179051"	"NEK2,RCC2"
D	GO:0060307	0.207458784	2.623471883	0.851211073	2	12	regulation of ventricular cardiac muscle cell membrane repolarization	0.685488496	"ENSG00000105711,ENSG00000175538"	"SCN1B,KCNE3"
D	GO:0060391	0.207458784	2.623471883	0.851211073	2	12	positive regulation of SMAD protein signal transduction	0.685488496	"ENSG00000125378,ENSG00000143799"	"BMP4,PARP1"
D	GO:0060572	0.207458784	2.623471883	0.851211073	2	12	morphogenesis of an epithelial bud	0.685488496	"ENSG00000101144,ENSG00000125378"	"BMP7,BMP4"
D	GO:0061437	0.207458784	2.623471883	0.851211073	2	12	renal system vasculature development	0.685488496	"ENSG00000101144,ENSG00000125378"	"BMP7,BMP4"
D	GO:0061440	0.207458784	2.623471883	0.851211073	2	12	kidney vasculature development	0.685488496	"ENSG00000101144,ENSG00000125378"	"BMP7,BMP4"
D	GO:0072087	0.207458784	2.623471883	0.851211073	2	12	renal vesicle development	0.685488496	"ENSG00000115415,ENSG00000125378"	"STAT1,BMP4"
D	GO:0072182	0.207458784	2.623471883	0.851211073	2	12	regulation of nephron tubule epithelial cell differentiation	0.685488496	"ENSG00000107485,ENSG00000115415"	"GATA3,STAT1"
D	GO:0089718	0.207458784	2.623471883	0.851211073	2	12	amino acid import across plasma membrane	0.685488496	"ENSG00000003989,ENSG00000101188"	"SLC7A2,NTSR1"
D	GO:0099625	0.207458784	2.623471883	0.851211073	2	12	ventricular cardiac muscle cell membrane repolarization	0.685488496	"ENSG00000105711,ENSG00000175538"	"SCN1B,KCNE3"
D	GO:0106030	0.207458784	2.623471883	0.851211073	2	12	neuron projection fasciculation	0.685488496	"ENSG00000181754,ENSG00000182580"	"AMIGO1,EPHB3"
D	GO:1901836	0.207458784	2.623471883	0.851211073	2	12	regulation of transcription of nucleolar large rRNA by RNA polymerase I	0.685488496	"ENSG00000013573,ENSG00000115053"	"DDX11,NCL"
D	GO:2000193	0.207458784	2.623471883	0.851211073	2	12	positive regulation of fatty acid transport	0.685488496	"ENSG00000101188,ENSG00000108984"	"NTSR1,MAP2K6"
D	GO:0010564	0.208652608	1.143734948	44.47577855	50	627	regulation of cell cycle process	0.689083182	"ENSG00000012048,ENSG00000013573,ENSG00000015475,ENSG00000020922,ENSG00000053900,ENSG00000072571,ENSG00000072864,ENSG00000075131,ENSG00000077684,ENSG00000080839,ENSG00000080986,ENSG00000089053,ENSG00000090447,ENSG00000095002,ENSG00000097046,ENSG00000100823,ENSG00000101144,ENSG00000104884,ENSG00000114107,ENSG00000114126,ENSG00000115738,ENSG00000117650,ENSG00000122565,ENSG00000125378,ENSG00000132382,ENSG00000132646,ENSG00000135446,ENSG00000136104,ENSG00000137177,ENSG00000138160,ENSG00000148019,ENSG00000153107,ENSG00000153207,ENSG00000156970,ENSG00000157212,ENSG00000161010,ENSG00000164109,ENSG00000165689,ENSG00000166582,ENSG00000166851,ENSG00000167513,ENSG00000168646,ENSG00000175643,ENSG00000179051,ENSG00000180198,ENSG00000181163,ENSG00000182973,ENSG00000249115,ENSG00000253729,ENSG00000254093"	"BRCA1,DDX11,BID,MRE11A,ANAPC4,HMMR,NDE1,TIPIN,JADE1,RBL1,NDC80,ANAPC5,TFAP4,MSH2,CDC7,APEX1,BMP7,ERCC2,CEP70,TFDP2,ID2,NEK2,CBX3,BMP4,MYBBP1A,PCNA,CDK4,RNASEH2B,KIF13A,KIF11,CEP78,ANAPC1,AHCTF1,BUB1B,PAXIP1,C5orf45,MAD2L1,SDCCAG3,CENPV,PLK1,CDT1,AXIN2,RMI2,RCC2,RCC1,NPM1,CNOT10,HAUS5,PRKDC,PINX1"
D	GO:0019725	0.210163741	1.149459713	40.71626298	46	574	cellular homeostasis	0.693537029	"ENSG00000005059,ENSG00000062282,ENSG00000065923,ENSG00000067992,ENSG00000070018,ENSG00000074201,ENSG00000076351,ENSG00000083454,ENSG00000083720,ENSG00000100823,ENSG00000101188,ENSG00000101868,ENSG00000103888,ENSG00000104369,ENSG00000105647,ENSG00000109255,ENSG00000109819,ENSG00000110169,ENSG00000117862,ENSG00000118418,ENSG00000125384,ENSG00000131238,ENSG00000132646,ENSG00000133065,ENSG00000138346,ENSG00000138821,ENSG00000147642,ENSG00000149596,ENSG00000152556,ENSG00000153291,ENSG00000155850,ENSG00000163823,ENSG00000164182,ENSG00000165060,ENSG00000165283,ENSG00000165661,ENSG00000165672,ENSG00000165905,ENSG00000171130,ENSG00000171873,ENSG00000174502,ENSG00000180694,ENSG00000197296,ENSG00000197763,ENSG00000198056,ENSG00000213366,ENSG00000268173"	"CCDC109B,DGAT2,SLC9A7,PDK3,LRP6,CLNS1A,SLC46A1,P2RX5,OXCT1,APEX1,NTSR1,POLA1,CEMIP,JPH1,PIK3R2,NMU,PPARGC1A,HPX,TXNDC12,HMGN3,PTGER2,PPT1,PCNA,SLC41A1,DNA2,SLC39A8,SYBU,JPH2,PFKM,SLC25A27,SLC26A2,CCR1,NDUFAF2,FXN,STOML2,QSOX2,PRDX3,GYLTL1B,ATP6V0E2,ADRA1D,SLC26A9,TMEM64,FITM2,TXNRD3,PRIM1,GSTM2,PIK3R2"
D	GO:0006275	0.210214421	1.383365822	7.448096886	10	105	regulation of DNA replication	0.693537029	"ENSG00000020922,ENSG00000075131,ENSG00000097046,ENSG00000125378,ENSG00000132646,ENSG00000135913,ENSG00000138346,ENSG00000165283,ENSG00000167513,ENSG00000175054"	"MRE11A,TIPIN,CDC7,BMP4,PCNA,USP37,DNA2,STOML2,CDT1,ATR"
D	GO:0032024	0.212190719	1.641104294	3.192041522	5	45	positive regulation of insulin secretion	0.699347932	"ENSG00000064115,ENSG00000083720,ENSG00000123836,ENSG00000147642,ENSG00000152556"	"TM7SF3,OXCT1,PFKFB2,SYBU,PFKM"
D	GO:0098739	0.212190719	1.641104294	3.192041522	5	45	import across plasma membrane	0.699347932	"ENSG00000003989,ENSG00000065923,ENSG00000076351,ENSG00000101188,ENSG00000138821"	"SLC7A2,SLC9A7,SLC46A1,NTSR1,SLC39A8"
D	GO:0009199	0.212442754	1.227050678	18.30103806	22	258	ribonucleoside triphosphate metabolic process	0.699824078	"ENSG00000015475,ENSG00000030066,ENSG00000058804,ENSG00000069248,ENSG00000084774,ENSG00000095002,ENSG00000108179,ENSG00000109819,ENSG00000113569,ENSG00000123836,ENSG00000132436,ENSG00000138750,ENSG00000143179,ENSG00000143799,ENSG00000152234,ENSG00000152556,ENSG00000163002,ENSG00000165060,ENSG00000165283,ENSG00000167792,ENSG00000169021,ENSG00000178409"	"BID,NUP160,NDC1,NUP133,CAD,MSH2,PPIF,PPARGC1A,NUP155,PFKFB2,FIGNL1,NUP54,UCK2,PARP1,ATP5A1,PFKM,NUP35,FXN,STOML2,NDUFV1,UQCRFS1,BEND3"
D	GO:0009266	0.213803009	1.275440977	12.83910035	16	181	response to temperature stimulus	0.703948571	"ENSG00000025156,ENSG00000030066,ENSG00000058804,ENSG00000069248,ENSG00000101188,ENSG00000109819,ENSG00000112208,ENSG00000113569,ENSG00000130304,ENSG00000134001,ENSG00000138750,ENSG00000144231,ENSG00000144381,ENSG00000153291,ENSG00000163002,ENSG00000175054"	"HSF2,NUP160,NDC1,NUP133,NTSR1,PPARGC1A,BAG2,NUP155,SLC27A1,EIF2S1,NUP54,POLR2D,HSPD1,SLC25A27,NUP35,ATR"
D	GO:0035725	0.214975217	1.439638302	5.74567474	8	81	sodium ion transmembrane transport	0.7067351	"ENSG00000065923,ENSG00000105711,ENSG00000108961,ENSG00000110881,ENSG00000133065,ENSG00000146950,ENSG00000164588,ENSG00000197506"	"SLC9A7,SCN1B,RANGRF,ASIC1,SLC41A1,SHROOM2,HCN1,SLC28A3"
D	GO:1904029	0.214975217	1.439638302	5.74567474	8	81	regulation of cyclin-dependent protein kinase activity	0.7067351	"ENSG00000020426,ENSG00000090447,ENSG00000100526,ENSG00000107949,ENSG00000135446,ENSG00000138646,ENSG00000166851,ENSG00000175305"	"MNAT1,TFAP4,CDKN3,BCCIP,CDK4,HERC5,PLK1,CCNE2"
D	GO:1905269	0.214975217	1.439638302	5.74567474	8	81	positive regulation of chromatin organization	0.7067351	"ENSG00000009709,ENSG00000012048,ENSG00000088305,ENSG00000107485,ENSG00000109819,ENSG00000140395,ENSG00000157212,ENSG00000158321"	"PAX7,BRCA1,DNMT3B,GATA3,PPARGC1A,WDR61,PAXIP1,AUTS2"
D	GO:0022617	0.215520953	1.544876427	4.043252595	6	57	extracellular matrix disassembly	0.70745677	"ENSG00000099953,ENSG00000115414,ENSG00000137673,ENSG00000137745,ENSG00000160867,ENSG00000166033"	"MMP11,FN1,MMP7,MMP13,FGFR4,HTRA1"
D	GO:0046794	0.215520953	1.544876427	4.043252595	6	57	transport of virus	0.70745677	"ENSG00000030066,ENSG00000058804,ENSG00000069248,ENSG00000113569,ENSG00000138750,ENSG00000163002"	"NUP160,NDC1,NUP133,NUP155,NUP54,NUP35"
D	GO:0071806	0.215520953	1.544876427	4.043252595	6	57	protein transmembrane transport	0.70745677	"ENSG00000075336,ENSG00000100216,ENSG00000100575,ENSG00000144381,ENSG00000157911,ENSG00000173726"	"TIMM21,TOMM22,TIMM9,HSPD1,PEX10,TOMM20"
D	GO:0045930	0.217661939	1.215869753	19.29411765	23	272	negative regulation of mitotic cell cycle	0.714124344	"ENSG00000012048,ENSG00000020922,ENSG00000073536,ENSG00000075131,ENSG00000077684,ENSG00000080839,ENSG00000080986,ENSG00000095002,ENSG00000101144,ENSG00000104290,ENSG00000114126,ENSG00000125378,ENSG00000132646,ENSG00000154640,ENSG00000156970,ENSG00000161010,ENSG00000164109,ENSG00000166851,ENSG00000167513,ENSG00000181163,ENSG00000182973,ENSG00000253729,ENSG00000254093"	"BRCA1,MRE11A,NLE1,TIPIN,JADE1,RBL1,NDC80,MSH2,BMP7,FZD3,TFDP2,BMP4,PCNA,BTG3,BUB1B,C5orf45,MAD2L1,PLK1,CDT1,NPM1,CNOT10,PRKDC,PINX1"
D	GO:0002460	0.218568374	1.32552625	9.292387543	12	131	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.7156859	"ENSG00000076248,ENSG00000095002,ENSG00000106804,ENSG00000107485,ENSG00000108561,ENSG00000109861,ENSG00000110169,ENSG00000116062,ENSG00000144381,ENSG00000157212,ENSG00000166278,ENSG00000205403"	"UNG,MSH2,C5,GATA3,C1QBP,CTSC,HPX,MSH6,HSPD1,PAXIP1,C2,CFI"
D	GO:0009452	0.218797918	1.75	2.411764706	4	34	7-methylguanosine RNA capping	0.7156859	"ENSG00000020426,ENSG00000104884,ENSG00000111358,ENSG00000144231"	"MNAT1,ERCC2,GTF2H3,POLR2D"
D	GO:0017004	0.218797918	1.75	2.411764706	4	34	cytochrome complex assembly	0.7156859	"ENSG00000074582,ENSG00000075336,ENSG00000181924,ENSG00000232838"	"BCS1L,TIMM21,COA4,PET117"
D	GO:0036260	0.218797918	1.75	2.411764706	4	34	RNA capping	0.7156859	"ENSG00000020426,ENSG00000104884,ENSG00000111358,ENSG00000144231"	"MNAT1,ERCC2,GTF2H3,POLR2D"
D	GO:0045005	0.218797918	1.75	2.411764706	4	34	DNA-dependent DNA replication maintenance of fidelity	0.7156859	"ENSG00000013573,ENSG00000075131,ENSG00000132646,ENSG00000146263"	"DDX11,TIPIN,PCNA,MMS22L"
D	GO:1902229	0.218797918	1.75	2.411764706	4	34	regulation of intrinsic apoptotic signaling pathway in response to DNA damage	0.7156859	"ENSG00000015475,ENSG00000064545,ENSG00000148985,ENSG00000165490"	"BID,TMEM161A,PGAP2,DDIAS"
D	GO:0062012	0.219819087	1.186178357	24.89792388	29	351	regulation of small molecule metabolic process	0.716610658	"ENSG00000012048,ENSG00000030066,ENSG00000058804,ENSG00000062282,ENSG00000067992,ENSG00000069248,ENSG00000101188,ENSG00000108179,ENSG00000109819,ENSG00000110090,ENSG00000112186,ENSG00000113569,ENSG00000115687,ENSG00000123836,ENSG00000132423,ENSG00000138750,ENSG00000143147,ENSG00000143799,ENSG00000149809,ENSG00000156521,ENSG00000160867,ENSG00000162344,ENSG00000163002,ENSG00000168291,ENSG00000171873,ENSG00000178409,ENSG00000196139,ENSG00000196363,ENSG00000196636"	"BRCA1,NUP160,NDC1,DGAT2,PDK3,NUP133,NTSR1,PPIF,PPARGC1A,CPT1A,CAP2,NUP155,PASK,PFKFB2,COQ3,NUP54,GPR161,PARP1,TM7SF2,TYSND1,FGFR4,FGF19,NUP35,PDHB,ADRA1D,BEND3,AKR1C3,WDR5,ACN9"
D	GO:0003401	0.220953117	1.968176255	1.631487889	3	23	axis elongation	0.716610658	"ENSG00000070018,ENSG00000100625,ENSG00000125378"	"LRP6,SIX4,BMP4"
D	GO:0007622	0.220953117	1.968176255	1.631487889	3	23	rhythmic behavior	0.716610658	"ENSG00000101444,ENSG00000109255,ENSG00000115738"	"AHCY,NMU,ID2"
D	GO:0010573	0.220953117	1.968176255	1.631487889	3	23	vascular endothelial growth factor production	0.716610658	"ENSG00000012048,ENSG00000106804,ENSG00000138061"	"BRCA1,C5,CYP1B1"
D	GO:0010656	0.220953117	1.968176255	1.631487889	3	23	negative regulation of muscle cell apoptotic process	0.716610658	"ENSG00000070018,ENSG00000091583,ENSG00000101144"	"LRP6,APOH,BMP7"
D	GO:0010907	0.220953117	1.968176255	1.631487889	3	23	positive regulation of glucose metabolic process	0.716610658	"ENSG00000062282,ENSG00000109819,ENSG00000196363"	"DGAT2,PPARGC1A,WDR5"
D	GO:0021955	0.220953117	1.968176255	1.631487889	3	23	central nervous system neuron axonogenesis	0.716610658	"ENSG00000105711,ENSG00000182580,ENSG00000204852"	"SCN1B,EPHB3,TCTN1"
D	GO:0030262	0.220953117	1.968176255	1.631487889	3	23	apoptotic nuclear changes	0.716610658	"ENSG00000105612,ENSG00000160049,ENSG00000169598"	"DNASE2,DFFA,DFFB"
D	GO:0031114	0.220953117	1.968176255	1.631487889	3	23	regulation of microtubule depolymerization	0.716610658	"ENSG00000101871,ENSG00000118200,ENSG00000140854,ENSG00000234129"	"MID1,CAMSAP2,KATNB1,"
D	GO:0032309	0.220953117	1.968176255	1.631487889	3	23	icosanoid secretion	0.716610658	"ENSG00000101188,ENSG00000108984,ENSG00000165025"	"NTSR1,MAP2K6,SYK"
D	GO:0045776	0.220953117	1.968176255	1.631487889	3	23	negative regulation of blood pressure	0.716610658	"ENSG00000101188,ENSG00000121064,ENSG00000137509"	"NTSR1,SCPEP1,PRCP"
D	GO:0046596	0.220953117	1.968176255	1.631487889	3	23	regulation of viral entry into host cell	0.716610658	"ENSG00000142089,ENSG00000185201,ENSG00000185885"	"IFITM3,IFITM2,IFITM1"
D	GO:0061384	0.220953117	1.968176255	1.631487889	3	23	heart trabecula morphogenesis	0.716610658	"ENSG00000069702,ENSG00000101144,ENSG00000125850"	"TGFBR3,BMP7,OVOL2"
D	GO:0090322	0.220953117	1.968176255	1.631487889	3	23	regulation of superoxide metabolic process	0.716610658	"ENSG00000101144,ENSG00000105852,ENSG00000165025"	"BMP7,PON3,SYK"
D	GO:1901021	0.220953117	1.968176255	1.631487889	3	23	positive regulation of calcium ion transmembrane transporter activity	0.716610658	"ENSG00000149596,ENSG00000175538,ENSG00000213366"	"JPH2,KCNE3,GSTM2"
D	GO:1903580	0.220953117	1.968176255	1.631487889	3	23	positive regulation of ATP metabolic process	0.716610658	"ENSG00000109819,ENSG00000123836,ENSG00000178409"	"PPARGC1A,PFKFB2,BEND3"
D	GO:1905332	0.220953117	1.968176255	1.631487889	3	23	positive regulation of morphogenesis of an epithelium	0.716610658	"ENSG00000100625,ENSG00000107485,ENSG00000125378"	"SIX4,GATA3,BMP4"
D	GO:0042552	0.224618643	1.420050592	5.816608997	8	82	myelination	0.726946843	"ENSG00000087053,ENSG00000088812,ENSG00000104884,ENSG00000123560,ENSG00000132970,ENSG00000166886,ENSG00000172819,ENSG00000181754"	"MTMR2,ATRN,ERCC2,PLP1,WASF3,NAB2,RARG,AMIGO1"
D	GO:0048660	0.224618643	1.420050592	5.816608997	8	82	regulation of smooth muscle cell proliferation	0.726946843	"ENSG00000020426,ENSG00000102678,ENSG00000109819,ENSG00000115415,ENSG00000115738,ENSG00000125378,ENSG00000145604,ENSG00000253729"	"MNAT1,FGF9,PPARGC1A,STAT1,ID2,BMP4,SKP2,PRKDC"
D	GO:0034248	0.225095191	1.168668279	28.7283737	33	405	regulation of cellular amide metabolic process	0.726946843	"ENSG00000030066,ENSG00000035681,ENSG00000058804,ENSG00000064601,ENSG00000069248,ENSG00000082516,ENSG00000088247,ENSG00000092847,ENSG00000108561,ENSG00000113569,ENSG00000115053,ENSG00000115687,ENSG00000123297,ENSG00000124571,ENSG00000125378,ENSG00000126602,ENSG00000132300,ENSG00000132768,ENSG00000134001,ENSG00000135446,ENSG00000138095,ENSG00000138750,ENSG00000144231,ENSG00000160710,ENSG00000163002,ENSG00000164024,ENSG00000166197,ENSG00000169062,ENSG00000176974,ENSG00000180228,ENSG00000181163,ENSG00000182973,ENSG00000186088"	"NUP160,NSMAF,NDC1,CTSA,NUP133,GEMIN5,KHSRP,AGO1,C1QBP,NUP155,NCL,PASK,TSFM,XPO5,BMP4,TRAP1,PTCD3,DPH2,EIF2S1,CDK4,LRPPRC,NUP54,POLR2D,ADAR,NUP35,METAP1,NOLC1,UPF3A,SHMT1,PRKRA,NPM1,CNOT10,GSAP"
D	GO:0045913	0.225306214	1.600927727	3.262975779	5	46	positive regulation of carbohydrate metabolic process	0.726946843	"ENSG00000062282,ENSG00000101188,ENSG00000109819,ENSG00000123836,ENSG00000196363"	"DGAT2,NTSR1,PPARGC1A,PFKFB2,WDR5"
D	GO:1901136	0.226126271	1.314356436	9.363321799	12	132	carbohydrate derivative catabolic process	0.726946843	"ENSG00000001036,ENSG00000072571,ENSG00000076248,ENSG00000101347,ENSG00000101444,ENSG00000103888,ENSG00000109323,ENSG00000135838,ENSG00000154328,ENSG00000162139,ENSG00000169299,ENSG00000205268"	"FUCA2,HMMR,UNG,SAMHD1,AHCY,CEMIP,MANBA,NPL,NEIL2,NEU3,PGM2,PDE7A"
D	GO:0001505	0.226520035	1.259927905	12.98096886	16	183	regulation of neurotransmitter levels	0.726946843	"ENSG00000003989,ENSG00000069535,ENSG00000088247,ENSG00000100116,ENSG00000101188,ENSG00000110721,ENSG00000110881,ENSG00000128683,ENSG00000138061,ENSG00000138744,ENSG00000140905,ENSG00000143149,ENSG00000149927,ENSG00000159131,ENSG00000164904,ENSG00000176974"	"SLC7A2,MAOB,KHSRP,GCAT,NTSR1,CHKA,ASIC1,GAD1,CYP1B1,NAAA,GCSH,ALDH9A1,DOC2A,GART,ALDH7A1,SHMT1"
D	GO:0002700	0.226583266	1.459204592	4.965397924	7	70	regulation of production of molecular mediator of immune response	0.726946843	"ENSG00000076248,ENSG00000095002,ENSG00000107485,ENSG00000110169,ENSG00000116062,ENSG00000157212,ENSG00000253729"	"UNG,MSH2,GATA3,HPX,MSH6,PAXIP1,PRKDC"
D	GO:0044766	0.226583266	1.459204592	4.965397924	7	70	multi-organism transport	0.726946843	"ENSG00000030066,ENSG00000058804,ENSG00000069248,ENSG00000113569,ENSG00000117280,ENSG00000138750,ENSG00000163002"	"NUP160,NDC1,NUP133,NUP155,RAB29,NUP54,NUP35"
D	GO:1902579	0.226583266	1.459204592	4.965397924	7	70	multi-organism localization	0.726946843	"ENSG00000030066,ENSG00000058804,ENSG00000069248,ENSG00000113569,ENSG00000117280,ENSG00000138750,ENSG00000163002"	"NUP160,NDC1,NUP133,NUP155,RAB29,NUP54,NUP35"
D	GO:0032479	0.22696752	1.354588265	7.589965398	10	107	regulation of type I interferon production	0.726946843	"ENSG00000005100,ENSG00000020922,ENSG00000101695,ENSG00000115415,ENSG00000138646,ENSG00000140853,ENSG00000144381,ENSG00000165025,ENSG00000171453,ENSG00000253729"	"DHX33,MRE11A,RNF125,STAT1,HERC5,NLRC5,HSPD1,SYK,POLR1C,PRKDC"
D	GO:0034766	0.227162264	1.515025515	4.114186851	6	58	negative regulation of ion transmembrane transport	0.726946843	"ENSG00000101188,ENSG00000108179,ENSG00000170379,ENSG00000171873,ENSG00000175538,ENSG00000213366"	"NTSR1,PPIF,TCAF2,ADRA1D,KCNE3,GSTM2"
D	GO:0042136	0.227162264	1.515025515	4.114186851	6	58	neurotransmitter biosynthetic process	0.726946843	"ENSG00000003989,ENSG00000088247,ENSG00000128683,ENSG00000138061,ENSG00000143149,ENSG00000176974"	"SLC7A2,KHSRP,GAD1,CYP1B1,ALDH9A1,SHMT1"
D	GO:0043255	0.227162264	1.515025515	4.114186851	6	58	regulation of carbohydrate biosynthetic process	0.726946843	"ENSG00000062282,ENSG00000101188,ENSG00000109819,ENSG00000115687,ENSG00000196363,ENSG00000196636"	"DGAT2,NTSR1,PPARGC1A,PASK,WDR5,ACN9"
D	GO:0043967	0.227162264	1.515025515	4.114186851	6	58	histone H4 acetylation	0.726946843	"ENSG00000012048,ENSG00000077684,ENSG00000158321,ENSG00000175792,ENSG00000178409,ENSG00000196363"	"BRCA1,JADE1,AUTS2,RUVBL1,BEND3,WDR5"
D	GO:0071359	0.227162264	1.515025515	4.114186851	6	58	cellular response to dsRNA	0.726946843	"ENSG00000092847,ENSG00000116918,ENSG00000125378,ENSG00000160710,ENSG00000180228,ENSG00000181163"	"AGO1,TSNAX,BMP4,ADAR,PRKRA,NPM1"
